borough_code,borough,service_family,vendor_supply_proxy,ons_group_count,borough_supply_rank,borough_supply_percentile
E09000033,Westminster,Accessibility & Mobility Services,6670,2,1,100.0
E09000007,Camden,Accessibility & Mobility Services,4525,2,2,97.0
E09000003,Barnet,Accessibility & Mobility Services,3910,2,3,93.9
E09000012,Hackney,Accessibility & Mobility Services,3130,2,4,90.9
E09000019,Islington,Accessibility & Mobility Services,3110,2,5,87.9
E09000009,Ealing,Accessibility & Mobility Services,3040,2,6,84.8
E09000025,Newham,Accessibility & Mobility Services,2910,2,7,81.8
E09000008,Croydon,Accessibility & Mobility Services,2780,2,8,78.8
E09000005,Brent,Accessibility & Mobility Services,2755,2,9,75.8
E09000030,Tower Hamlets,Accessibility & Mobility Services,2635,2,10,72.7
E09000026,Redbridge,Accessibility & Mobility Services,2610,2,11,69.7
E09000020,Kensington and Chelsea,Accessibility & Mobility Services,2540,2,12,65.2
E09000028,Southwark,Accessibility & Mobility Services,2540,2,12,65.2
E09000017,Hillingdon,Accessibility & Mobility Services,2515,2,13,60.6
E09000032,Wandsworth,Accessibility & Mobility Services,2490,2,14,57.6
E09000015,Harrow,Accessibility & Mobility Services,2435,2,15,54.5
E09000010,Enfield,Accessibility & Mobility Services,2430,2,16,51.5
E09000006,Bromley,Accessibility & Mobility Services,2280,2,17,48.5
E09000022,Lambeth,Accessibility & Mobility Services,2255,2,18,45.5
E09000018,Hounslow,Accessibility & Mobility Services,2195,2,19,42.4
E09000014,Haringey,Accessibility & Mobility Services,2085,2,20,39.4
E09000013,Hammersmith and Fulham,Accessibility & Mobility Services,2055,2,21,36.4
E09000011,Greenwich,Accessibility & Mobility Services,1990,2,22,33.3
E09000031,Waltham Forest,Accessibility & Mobility Services,1895,2,23,30.3
E09000023,Lewisham,Accessibility & Mobility Services,1820,2,24,27.3
E09000027,Richmond upon Thames,Accessibility & Mobility Services,1780,2,25,24.2
E09000016,Havering,Accessibility & Mobility Services,1715,2,26,19.7
E09000024,Merton,Accessibility & Mobility Services,1715,2,26,19.7
E09000021,Kingston upon Thames,Accessibility & Mobility Services,1625,2,27,15.2
E09000002,Barking and Dagenham,Accessibility & Mobility Services,1500,2,28,12.1
E09000004,Bexley,Accessibility & Mobility Services,1370,2,29,9.1
E09000029,Sutton,Accessibility & Mobility Services,1350,2,30,6.1
E09000001,City of London,Accessibility & Mobility Services,1295,2,31,3.0
E09000033,Westminster,Accounting & Finance Services,17655,2,1,100.0
E09000001,City of London,Accounting & Finance Services,12525,2,2,97.0
E09000007,Camden,Accounting & Finance Services,12075,2,3,93.9
E09000012,Hackney,Accounting & Finance Services,6535,2,4,90.9
E09000019,Islington,Accounting & Finance Services,6425,2,5,87.9
E09000003,Barnet,Accounting & Finance Services,5085,2,6,84.8
E09000028,Southwark,Accounting & Finance Services,4450,2,7,81.8
E09000030,Tower Hamlets,Accounting & Finance Services,4085,2,8,78.8
E09000032,Wandsworth,Accounting & Finance Services,4020,2,9,75.8
E09000020,Kensington and Chelsea,Accounting & Finance Services,3605,2,10,72.7
E09000027,Richmond upon Thames,Accounting & Finance Services,3555,2,11,69.7
E09000013,Hammersmith and Fulham,Accounting & Finance Services,3255,2,12,66.7
E09000022,Lambeth,Accounting & Finance Services,3145,2,13,63.6
E09000006,Bromley,Accounting & Finance Services,3085,2,14,60.6
E09000015,Harrow,Accounting & Finance Services,3070,2,15,57.6
E09000009,Ealing,Accounting & Finance Services,2970,2,16,54.5
E09000008,Croydon,Accounting & Finance Services,2665,2,17,51.5
E09000014,Haringey,Accounting & Finance Services,2450,2,18,48.5
E09000005,Brent,Accounting & Finance Services,2365,2,19,45.5
E09000024,Merton,Accounting & Finance Services,2355,2,20,42.4
E09000026,Redbridge,Accounting & Finance Services,2345,2,21,39.4
E09000010,Enfield,Accounting & Finance Services,2325,2,22,36.4
E09000017,Hillingdon,Accounting & Finance Services,2265,2,23,33.3
E09000018,Hounslow,Accounting & Finance Services,2210,2,24,30.3
E09000031,Waltham Forest,Accounting & Finance Services,2020,2,25,27.3
E09000023,Lewisham,Accounting & Finance Services,1925,2,26,24.2
E09000021,Kingston upon Thames,Accounting & Finance Services,1860,2,27,21.2
E09000025,Newham,Accounting & Finance Services,1835,2,28,18.2
E09000011,Greenwich,Accounting & Finance Services,1770,2,29,15.2
E09000016,Havering,Accounting & Finance Services,1440,2,30,12.1
E09000029,Sutton,Accounting & Finance Services,1395,2,31,9.1
E09000004,Bexley,Accounting & Finance Services,1265,2,32,6.1
E09000002,Barking and Dagenham,Accounting & Finance Services,830,2,33,3.0
E09000033,Westminster,Agricultural & Rural Services,110,1,1,100.0
E09000006,Bromley,Agricultural & Rural Services,50,1,2,93.9
E09000007,Camden,Agricultural & Rural Services,50,1,2,93.9
E09000020,Kensington and Chelsea,Agricultural & Rural Services,50,1,2,93.9
E09000003,Barnet,Agricultural & Rural Services,45,1,3,87.9
E09000016,Havering,Agricultural & Rural Services,35,1,4,84.8
E09000001,City of London,Agricultural & Rural Services,30,1,5,74.2
