marketplace_side,weakness,Bark,Checkatrade,Yell,Yelp
Both,Account / cancellation,1.0,1.0,1.0,2.8
Service Provider / Business,Billing / refunds,6.0,3.7,7.2,6.5
Both,Customer support,1.3,1.7,1.0,1.9
Customer,Dispute protection,0.4,0.8,0.3,1.9
Service Provider / Business,Fake / invalid leads,1.8,0.2,0.0,0.0
Customer,Finding a provider / low response,1.8,1.7,0.7,0.0
Both,Misleading claims / transparency,1.3,1.2,5.5,11.2
Both,Platform usability,1.8,0.5,0.0,0.0
Service Provider / Business,Poor ROI / expensive leads,2.6,0.7,3.4,1.9
Service Provider / Business,Poor lead quality,2.2,1.5,0.3,1.9
Customer,Poor matching / location,2.8,1.5,1.4,1.9
Customer,Pricing / quote transparency,2.1,1.5,0.0,0.0
Both,Privacy / unwanted contact,5.0,1.7,4.5,7.5
Customer,Provider quality,2.1,5.5,0.7,0.0
Customer,Provider verification / safety,1.0,1.5,0.3,0.0
Customer,Review trust,0.1,1.2,1.0,7.5
Customer,Too many provider contacts / spam,1.9,1.0,0.0,0.9
Service Provider / Business,Too much provider competition,0.6,0.0,0.0,0.0
Service Provider / Business,Unresponsive leads,2.6,1.2,0.7,0.9
