competitor,weakness,frequency,total_relevant_negative_reviews,percent_of_collected_negative_sample
Bark,Billing / refunds,41,682,6.0
Bark,Privacy / unwanted contact,34,682,5.0
Bark,Poor matching / location,19,682,2.8
Bark,Poor ROI / expensive leads,18,682,2.6
Bark,Unresponsive leads,18,682,2.6
Bark,Poor lead quality,15,682,2.2
Bark,Pricing / quote transparency,14,682,2.1
Bark,Provider quality,14,682,2.1
Bark,Too many provider contacts / spam,13,682,1.9
Bark,Fake / invalid leads,12,682,1.8
Bark,Finding a provider / low response,12,682,1.8
Bark,Platform usability,12,682,1.8
Bark,Customer support,9,682,1.3
Bark,Misleading claims / transparency,9,682,1.3
Bark,Account / cancellation,7,682,1.0
Bark,Provider verification / safety,7,682,1.0
Bark,Too much provider competition,4,682,0.6
Bark,Dispute protection,3,682,0.4
Bark,Review trust,1,682,0.1
Checkatrade,Provider quality,33,602,5.5
Checkatrade,Billing / refunds,22,602,3.7
Checkatrade,Customer support,10,602,1.7
Checkatrade,Finding a provider / low response,10,602,1.7
Checkatrade,Privacy / unwanted contact,10,602,1.7
Checkatrade,Poor lead quality,9,602,1.5
Checkatrade,Poor matching / location,9,602,1.5
Checkatrade,Pricing / quote transparency,9,602,1.5
Checkatrade,Provider verification / safety,9,602,1.5
Checkatrade,Misleading claims / transparency,7,602,1.2
Checkatrade,Review trust,7,602,1.2
Checkatrade,Unresponsive leads,7,602,1.2
Checkatrade,Account / cancellation,6,602,1.0
Checkatrade,Too many provider contacts / spam,6,602,1.0
Checkatrade,Dispute protection,5,602,0.8
Checkatrade,Poor ROI / expensive leads,4,602,0.7
Checkatrade,Platform usability,3,602,0.5
Checkatrade,Fake / invalid leads,1,602,0.2
Yell,Billing / refunds,21,292,7.2
Yell,Misleading claims / transparency,16,292,5.5
Yell,Privacy / unwanted contact,13,292,4.5
Yell,Poor ROI / expensive leads,10,292,3.4
Yell,Poor matching / location,4,292,1.4
Yell,Account / cancellation,3,292,1.0
Yell,Customer support,3,292,1.0
Yell,Review trust,3,292,1.0
Yell,Finding a provider / low response,2,292,0.7
Yell,Provider quality,2,292,0.7
Yell,Unresponsive leads,2,292,0.7
Yell,Dispute protection,1,292,0.3
Yell,Poor lead quality,1,292,0.3
Yell,Provider verification / safety,1,292,0.3
Yelp,Misleading claims / transparency,12,107,11.2
Yelp,Privacy / unwanted contact,8,107,7.5
Yelp,Review trust,8,107,7.5
Yelp,Billing / refunds,7,107,6.5
Yelp,Account / cancellation,3,107,2.8
Yelp,Customer support,2,107,1.9
Yelp,Dispute protection,2,107,1.9
Yelp,Poor ROI / expensive leads,2,107,1.9
Yelp,Poor lead quality,2,107,1.9
Yelp,Poor matching / location,2,107,1.9
Yelp,Too many provider contacts / spam,1,107,0.9
Yelp,Unresponsive leads,1,107,0.9
