competitor,year,weakness,frequency
Bark,2025,Billing / refunds,6
Bark,2025,Poor lead quality,3
Bark,2025,Fake / invalid leads,2
Bark,2025,Finding a provider / low response,2
Bark,2025,Poor matching / location,2
Bark,2025,Pricing / quote transparency,2
Bark,2025,Too many provider contacts / spam,2
Bark,2025,Poor ROI / expensive leads,1
Bark,2025,Privacy / unwanted contact,1
Bark,2025,Provider quality,1
Bark,2025,Unresponsive leads,1
Bark,2026,Billing / refunds,35
Bark,2026,Privacy / unwanted contact,33
Bark,2026,Poor ROI / expensive leads,17
Bark,2026,Poor matching / location,17
Bark,2026,Unresponsive leads,17
Bark,2026,Provider quality,13
Bark,2026,Platform usability,12
Bark,2026,Poor lead quality,12
Bark,2026,Pricing / quote transparency,12
Bark,2026,Too many provider contacts / spam,11
Bark,2026,Fake / invalid leads,10
Bark,2026,Finding a provider / low response,10
Bark,2026,Customer support,9
Bark,2026,Misleading claims / transparency,9
Bark,2026,Account / cancellation,7
Bark,2026,Provider verification / safety,7
Bark,2026,Too much provider competition,4
Bark,2026,Dispute protection,3
Bark,2026,Review trust,1
Checkatrade,2025,Provider quality,6
Checkatrade,2025,Finding a provider / low response,5
Checkatrade,2025,Poor matching / location,5
Checkatrade,2025,Billing / refunds,2
Checkatrade,2025,Customer support,2
Checkatrade,2025,Pricing / quote transparency,2
Checkatrade,2025,Privacy / unwanted contact,2
Checkatrade,2025,Provider verification / safety,2
Checkatrade,2025,Review trust,2
Checkatrade,2025,Account / cancellation,1
Checkatrade,2025,Dispute protection,1
Checkatrade,2025,Misleading claims / transparency,1
Checkatrade,2025,Too many provider contacts / spam,1
Checkatrade,2025,Unresponsive leads,1
Checkatrade,2026,Provider quality,27
Checkatrade,2026,Billing / refunds,20
Checkatrade,2026,Poor lead quality,9
Checkatrade,2026,Customer support,8
Checkatrade,2026,Privacy / unwanted contact,8
Checkatrade,2026,Pricing / quote transparency,7
Checkatrade,2026,Provider verification / safety,7
Checkatrade,2026,Misleading claims / transparency,6
Checkatrade,2026,Unresponsive leads,6
Checkatrade,2026,Account / cancellation,5
Checkatrade,2026,Finding a provider / low response,5
Checkatrade,2026,Review trust,5
Checkatrade,2026,Too many provider contacts / spam,5
Checkatrade,2026,Dispute protection,4
Checkatrade,2026,Poor ROI / expensive leads,4
Checkatrade,2026,Poor matching / location,4
Checkatrade,2026,Platform usability,3
Checkatrade,2026,Fake / invalid leads,1
Yell,2024,Billing / refunds,3
Yell,2024,Finding a provider / low response,1
Yell,2024,Misleading claims / transparency,1
Yell,2024,Privacy / unwanted contact,1
Yell,2024,Review trust,1
Yell,2025,Poor ROI / expensive leads,4
Yell,2025,Billing / refunds,3
Yell,2025,Customer support,2
Yell,2025,Misleading claims / transparency,2
Yell,2025,Provider quality,2
Yell,2025,Poor matching / location,1
Yell,2025,Privacy / unwanted contact,1
Yell,2026,Billing / refunds,15
Yell,2026,Misleading claims / transparency,13
Yell,2026,Privacy / unwanted contact,11
Yell,2026,Poor ROI / expensive leads,6
Yell,2026,Account / cancellation,3
Yell,2026,Poor matching / location,3
Yell,2026,Review trust,2
Yell,2026,Unresponsive leads,2
Yell,2026,Customer support,1
Yell,2026,Dispute protection,1
Yell,2026,Finding a provider / low response,1
Yell,2026,Poor lead quality,1
Yell,2026,Provider verification / safety,1
Yelp,2024,Poor matching / location,1
Yelp,2024,Privacy / unwanted contact,1
Yelp,2025,Review trust,1
Yelp,2026,Misleading claims / transparency,12
Yelp,2026,Billing / refunds,7
Yelp,2026,Privacy / unwanted contact,7
Yelp,2026,Review trust,7
Yelp,2026,Account / cancellation,3
Yelp,2026,Customer support,2
Yelp,2026,Dispute protection,2
Yelp,2026,Poor ROI / expensive leads,2
Yelp,2026,Poor lead quality,2
Yelp,2026,Poor matching / location,1
Yelp,2026,Too many provider contacts / spam,1
Yelp,2026,Unresponsive leads,1
