reviewId,rating,publishedDate,text,competitor,year,manual_relevance,manual_user_type,primary_complaint_theme,secondary_complaint_theme,manual_complaint_themes,manual_severity,annotation_method,annotation_status,audit_relevance,audit_user_type,audit_primary_theme,audit_secondary_theme,audit_severity,audit_notes
6a0d9b07f3d2a676b13f7d0b,3,2026-05-20 13:29:11+00:00,Not an easy site to follow and not everyone I clicked on has come back to me,Bark,2026,Relevant,Customer,Platform usability / technical issues,,Platform usability / technical issues,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit,,,,,,
68b2c5417513cda67d152990,2,2025-08-30 11:32:49+00:00,far too many follow up emails even after i have closed the enquiry,Bark,2025,Relevant,Service Provider / Business,Unresponsive leads,,Unresponsive leads,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit,,,,,,
6952bfdcb4040b9e47b78a92,3,2025-12-29 19:52:28+00:00,Dislike Bark continually emailing,Bark,2025,Relevant,Customer,Privacy / unwanted contact,,Privacy / unwanted contact,Low,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit,,,,,,
6a5e859aa16be06e59a74723,1,2026-07-20 22:31:22+00:00,Client depuis 2023. Pas un seul lead ! Que de la perte d'argent. Il promette satisfait ou reconduit mais ça reste 0 lead ,Bark,2026,Relevant,Customer,Too many provider contacts / spam,,Too many provider contacts / spam,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit,,,,,,
68224fb3009fb181968a1ff3,2,2025-05-12 21:44:51+00:00,"Die Plattform ist von der Software her ganz gut umgesetzt und das Servicepersonal am Telefon und per Email auch sehr nett, daher zwei Sterne (je einen quasi für diese beiden Punkte). 

Bei der Kernfunktion (gute Leads kaufen) konnte ich jedoch leider bisher keine besonders gute Erfahrung machen: Beim ersten Creditpaket war kein einziger Lead dabei, wobei ich jeden Lead sowohl über das System und dann später per manueller Email als auch telefonisch zu erreichen versuchte. Oft klappt das gar nicht erst. Wer bitte schaltet eine Anzeige und lässt sich dann auf keinem der Kommunikationskanäle erreichen, wenn man laut System meist der Einzige war, der den Lead bisher gekauft hat? Das kommt hier aber oft vor. Daher kaufe ich schon gar keine Leads mehr, bei denen die Tel-Nr. nicht verifiziert ist, da diese dann meist nicht vergeben war und per Email (meist web.de, gmx, gmail oder hotmail etc, d.h. keine seriösen eigenen Domains) keine Rückmeldung kam.

Die Leadqualität ist meines Erachtens sehr schlecht und das kann ich auch von daher bewerten, weil ich für meine Firma schon diverse Lead-Kauf-Plattformen ausprobiert habe. Diese Plattform hier zielt bisher scheinbar auf überdurchschnittlich viele Privatpersonen oder Solopreneure bzw. solche, die es werden wollen (z. B. Startups ohne Geld). 

Firmenleads (d.h. im B2B-Bereich) von Interessenten, die ihr Inserat im Auftrag einer Firma schalten, sind erfahrungsgemäß sehr viel ernsthafter und wertiger, können hier aber nicht klar als solche identifiziert werden (wenn überhaupt mal eine Firma hier inseriert). Auch kriegt man vom System nur einen Vornamen, was total unseriös ist in der Ansprache der Leads, weil man sie ohne Namen oder mit Vornamen anschreiben muss.

WUNSCH: Wenn man konkret Leads von Firmen als solche erkennen könnte, wäre das hier ein klarer Vorteil, den ich mir sehr wünsche. Dann würde ich Bark.com nochmal eine Chance geben. Denn nachdem das erste Creditpaket nichts erbrachte, außer viel Zeit- und Geldverschwendung, habe ich eine Erstattung erbeten und erhalten nebst dem Tipp, dass man künftig gleich innerhalb der ersten halben Stunde bei den Inserenten Kontakt suchen sollte. Wenngleich das nicht immer gelingt, war dann (vielleicht durch das bestmögliche Befolgen dieses Tipps) die Konvertierung schon besser: Zwei Kunden beim nächsten Credit-Paket, d.h. zwei von insgesamt zwei Credit-Paketen, mit denen man laut Angabe von Bark.com durchschnittlich 20 Leads kaufen kann. Also beim ersten Paket 0% Konversion, beim zweiten Paket 20%, d.h. durchschnittlich 10% Konversion bei uns bisher.

Leider war die Qualität selbst dieser beiden Leads auch nicht ideal, aber immerhin war eines ein Lead einer Firma (die aber ein extrem niedrigpreisiges Budget hat) und einmal von einem Einzelunternehmer (mit normaler Preisvorstellung). 

Außerdem scheinen viele Leads nicht ernsthaft zu inserieren. Habe es öfter gehabt, dass dann gemeint wurde, ""wollte nur mal die Plattform ausprobieren"" oder ""Ach ne, wir haben es gar nicht so ernst gemeint, wir ziehen unsere Anfrage zurück"". Dass man als Nachfrager ziemlich viel Geld dafür gezahlt hat, hat sich den Inserenten als unbekannt erwiesen. Die Meisten bisher dachten, man sei ein Mitarbeiter von Bark.com und nicht eine externe Firma, die deren Kontaktdaten gekauft hat. Ich fände es angebracht, dass Bark.com den Leuten, die ein Inserat schalten, auch deutlich macht, dass deren Kontaktdaten an Dritte verkauft werden. Schon alleine, damit man das dann nicht selbst erklären muss als externe Firma. Bisher war das keinem meiner Leads klar, mit denen ich sprach.

Jedenfalls wenn Bark.com seine Werbung auch mehr auf Portalen schalten würde, auf denen Mitarbeiter hochwertiger, seriöser, etablierter und zahlungskräftiger Firmen unterwegs sind, dann wäre die Software von Bark.com wirklich toll. Aber bisher wirkt es auf mich eher so wie ein low-Budget-Portal nach dem Vorbild von MyHammer o.ä., bei dem die nicht großartig irgendwie ernsthaft vorqualifizierten Kunden ein Inserat aufgeben, das in vielen Fällen ein paar Stunden bis zu einem Tag später den Inserenten schon selbst nicht mehr kümmert und wenn doch einmal, dann hat man es mit nicht liquiden Preisdrückern zu tun. Würde mich sehr freuen, wenn das künftig mit mehr Qualität der Leads anders werden würde. An sich wie gesagt eine interessante Plattform vom Konzept her.",Bark,2025,Relevant,Service Provider / Business,Poor lead quality,Fake / invalid leads,Poor lead quality | Fake / invalid leads,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit,,,,,,
6a60f01b4f268da22370e962,2,2026-07-22 18:30:19+00:00,"You expect us to be honest and helpful when giving a review but you have dishonest companies on your platform. I have been ripped off for over £7,000 and have been left with a bomb site. Bring back the yellow pages. ",Bark,2026,Relevant,Customer,Provider verification / safety,,Provider verification / safety,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit,,,,,,
6a59113b1e587aed508d142b,1,2026-07-16 19:13:31+00:00,"Bark is a major scam, they used to be a decent site to find leads, though they're now running a spam operation. Every time I was able to setup a meeting with a potential lead, it ended up being a hacker. They'll send you a fake zoom phishing link or some type of meeting download via email that attempts download malware on your computer. The remaining leads I purchased either had disconnected phone numbers or the leads said they don't know how their info got on Bark. Stay away from this site, don't waste your money.",Bark,2026,Relevant,Service Provider / Business,Fake / invalid leads,,Fake / invalid leads,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit,,,,,,
664cb1f2d02740a6a2454cc7,2,2024-05-21 16:38:42+00:00,"Ich bin jetzt innerhalb von 2-3 Jahren das zweite Mal von diesem Unternehmen angeschrieben worden. Beim ersten Mal konnte ich noch nachvollziehen, woher sie meine E-Mail Adresse haben, mittlerweile mit meiner neuen Seite war es unmöglich auf legale Weise über meine Homepage an meine ""private"" E-Mail Adresse zu kommen, an die die Mails gesendet werden. Zudem verbiete ich über die Nutzungsbedingungen meiner Seite die unaufgeforderte Zusendung solcher Angebote selbst an meine professionelle Adresse, weil diese Firma sich oft damit rausredet, die Adresse angeblich legal über Webseiten beschafft zu haben.
Also, weder habe ich mich irgendwo eingetragen oder registriert, noch ist meine private E-Mail Adresse irgendwo sichtbar und die Angebote, die man erhält, sind in über 80% der Fälle definitiv nicht passend oder glaubwürdig.
Ich habe Bark versucht in einer Antwort zur Rede zu stellen, woher sie meine Daten haben und gesagt, dass ich kein Interesse habe, bisher aber ohne Erfolg. Keine Antwort, aber weiterhin Angebots E-Mails. Ich sage, Vorsicht bei diesem Unternehmen.
UPDATE 31.05.2024: Mittlerweile bekomme ich keine Angebote mehr, Bark hat aber versucht diesen Eintrag löschen zu lassen und möchte jetzt weitere Daten von mir, um den Fall als ""echt"" einstufen und besser reagieren zu können... ich bleibe also bei meiner Meinung und wünsche keinen weiteren Kontakt zu diesem Unternehmen.",Bark,2024,Relevant,Service Provider / Business,Fake / invalid leads,,Fake / invalid leads,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit,,,,,,
69efd7ebefa6c36ac06b0448,3,2026-04-27 23:40:59+00:00,"I was looking for someone to do a spring yard clean-up.  The only people you have were landscapers and they were charging in excess of 3 times what I've ever been charged  before or that a landscaper, who  I found  in my own, was charging.  This is the first time I've ever been unable to find fair prices. ",Bark,2026,Relevant,Customer,Pricing / quote transparency,,Pricing / quote transparency,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit,,,,,,
6a4800275aa4f5209da286a3,3,2026-07-03 20:32:07+00:00,We had two contacts one we used the other was too late.   A lot did not respond.,Bark,2026,Relevant,Customer,Too many provider contacts / spam,,Too many provider contacts / spam,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit,,,,,,
