reviewId,competitor,rating,publishedDate,text,relevance,user_type,user_type_confidence,complaint_themes,severity,manual_relevance,manual_user_type,primary_complaint_theme,secondary_complaint_theme,manual_complaint_themes,manual_severity,theme_rationale,severity_rationale,manual_notes,annotation_method,annotation_status,annotation_confidence
68455a3cfaae5094c85745a9,Yell,3,2025-06-08 11:39:08+00:00,"They beg for reviews, it’s very irritating. Had 7 emails after the job was done.  

",Relevant,Unknown,Low,Other / Manual Review,Low,Relevant,Customer,Privacy / unwanted contact,,Privacy / unwanted contact,Low,Primary: Privacy / unwanted contact,Minor inconvenience or friction without clear material harm,Repeated review-request emails after job completion.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
69aaeb931552c9b0e6e5aa45,Yell,1,2026-03-06 16:58:27+00:00,"Dear Customer Services,



I am writing to raise a formal complaint regarding the advertising agreement I entered into with Yell in November, at a cost of £298.80 per month.



From the outset, the service has failed to deliver what was represented during the sales process. Since the agreement began, I have received no business leads whatsoever that can be attributed to Yell, which represents a complete lack of return on what is a significant monthly cost to my business.



Furthermore, at the beginning of the agreement I was promised an induction call/meeting in which I would be guided through the service and advised on how best to optimise the advertising and maximise enquiries. This induction never took place, meaning I was never given any professional guidance regarding the setup, content, or input required from my side in order for the advertising to perform effectively.



This failure at the very start of the agreement raises serious concerns about whether the service has ever been properly implemented.



My experience with customer support has also been extremely disappointing. During a phone call today with a member of your team, Rash, I explained that I wished to terminate the agreement due to the total absence of results. Rather than attempting to address the issue or escalate the complaint, I was simply told that the contract was for one year and could not be cancelled, after which the call was abruptly ended.



This level of service and handling of a customer complaint is not acceptable.



In addition, I must highlight that the service being delivered appears materially different from the service that was represented to me during the sales process. The agreement was entered into on the understanding that Yell’s advertising platform would actively generate customer enquiries for my business and that I would receive onboarding support to help optimise the listing. Given that no leads have been generated and the promised induction support was never provided, I am concerned that there has been a significant failure between the sales representation and the service actually delivered. I therefore request that this be reviewed as part of your formal complaints and compliance process.



Given:



The complete absence of leads or measurable return,
The failure to deliver the promised induction and onboarding support, and
The unsatisfactory response from your team when raising these issues,




I am formally requesting that this agreement be terminated without further financial obligation.



I must also state that, based on the difference between what was represented during the sales process and what has actually been delivered, I am concerned that the agreement may have been mis-sold. I would therefore ask that this matter be reviewed by your compliance or senior complaints team as part of this formal complaint.



If this matter cannot be resolved promptly, I will consider escalating the issue further, including submitting a complaint to the Advertising Standards Authority regarding the representations made during the sales process, and raising the matter with Trading Standards in relation to the service that has been delivered.



Please treat this message as a formal complaint and request for contract review. I would appreciate a written response within 7 days from a senior member of your customer services or account management team confirming how this matter will be resolved.



If I do not receive a satisfactory response within this timeframe, I will have little option but to review and formally dispute any further payments associated with this agreement while the complaint is under investigation.



Regards

Lee Davies

Countrywide Shutters

020 8656 6901

",Relevant,Service Provider / Business,High,Misleading claims / transparency,Medium,Relevant,Service Provider / Business,Poor ROI / expensive leads,Customer support,Poor ROI / expensive leads | Customer support,Medium,Primary: Poor ROI / expensive leads; Secondary: Customer support,"Meaningful service, financial, trust, support, or account failure",Business advertising contract produced no leads; promised onboarding absent; cancellation/support issues.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
6a05de3563487ed5c2950143,Bark,2,2026-05-14 16:37:41+00:00,"Lots of contractors contacted me but they want to sell what they do and not what I am asking for.  Example - I want poured concrete for the driveway but they try to convince me interlocking is best but that's because that's their business.  Also, I have landscaping companies contacting me when it isn't landscaping that I needed.  The few contractors who came out to measure said they would provide an estimate, I never heard from them again after they leave. ",Relevant,Customer,High,Other / Manual Review,Low,Relevant,Customer,Poor matching / location,,Poor matching / location,Low,Primary: Poor matching / location,Minor inconvenience or friction without clear material harm,Wrong service providers contacted customer and several providers failed to follow through with estimates.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
69f36232cf86b8012a7f20fc,Yell,1,2026-04-30 16:07:46+00:00,"I had a bad experience with yellow before, so when they called and tried to sell to me again I wasn’t interested, but after a lot of ”talk” I  made a stupid mistake an fell for the talk of extra calls and generating more interest in my business. At no time did they tell
Me I had to create a business google page , I still have no clue what that is , I was just sent links and expected to follow the instructions, I suffer quite badly from dyslexia , at no point did anyone ask if I had any difficulties, and now I’ve mentioned I’ve got dyslexia and need help I’ve been totally ignored by my so-called business manager.
After 6 weeks I’ve not had a single phone call or enquiry, so please save your time and money , and use it on a business that actually values its customers and not just after a sale.

After leaving this review I was asked to leave my business details, I’ve spent the last 10 minutes being past from
Puller to post , still not able to speak to an actual person, someone need to call me or I’m going to be leaving 1 star reviews constantly ",Relevant,Service Provider / Business,High,Other / Manual Review,Low,Relevant,Service Provider / Business,Poor ROI / expensive leads,,Poor ROI / expensive leads,Medium,Primary: Poor ROI / expensive leads,"Meaningful service, financial, trust, support, or account failure","Business paid for promised lead generation, received no enquiries, and could not obtain needed support.",AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
6a7866df1ff9db21a6e345a7,Bark,3,2026-08-09 13:39:11+00:00,"Would like to have seen crb check paperwork & also insurance public liability document.
At first contact please.
Seems just a general handy person & not an experience gardener.
Thank you ",Relevant,Customer,Medium,Provider verification / safety,High,Relevant,Customer,Provider verification / safety,,Provider verification / safety,Medium,Primary: Provider verification / safety,"Meaningful service, financial, trust, support, or account failure",Customer wanted vetting/insurance evidence and felt provider lacked relevant gardening experience.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
695dfaf09435e41c38bd4732,Bark,2,2026-01-07 08:19:28+00:00,"Useless lead provider. Very poor service!
They making fake job leads with no money return possible regardless of what happens, looking only to make money on you.",Relevant,Service Provider / Business,Medium,Poor lead quality,Medium,Relevant,Service Provider / Business,Fake / invalid leads,,Fake / invalid leads,Medium,Primary: Fake / invalid leads,"Meaningful service, financial, trust, support, or account failure",Provider alleges fake leads and inability to recover money.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
69c2e836406780c107573311,Yelp,1,2026-03-24 21:38:30+00:00,Absolutely garbage I am advertising with them and I get a lot of called non for work just people trying to sell me advertising and leads . Save yourself time money and effort. Do not use yelp business ads complete and utter garbage.,Relevant,Service Provider / Business,High,Other / Manual Review,Low,Relevant,Service Provider / Business,Poor ROI / expensive leads,,Poor ROI / expensive leads,Medium,Primary: Poor ROI / expensive leads,"Meaningful service, financial, trust, support, or account failure",Yelp advertiser reports sales/marketing calls rather than useful work leads.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
6a692ab7ce4ffe6ae8e2c916,Bark,1,2026-07-29 00:18:31+00:00,"I rarely leave negative reviews, but Bark’s customer service genuinely shocked me.

I spent over £100 on credits and didn’t get a single job from them. They refunded the credits back to my Bark account, which is apparently their policy, but completely refused to refund the money back to my original payment method.

Normally I’d accept that, but I explained my circumstances. I’d recently lost my job, was going through a formal grievance, and was facing serious financial hardship. I wasn’t asking for anything unreasonable - I simply asked them to make an exception so I could access money I’d already paid while I got back on my feet. I even told them I fully intended to come back and use Bark again once my situation had improved.

Instead, I got the same copy-and-paste policy response over and over again. No empathy. No understanding. No willingness to exercise any discretion whatsoever.

Policies exist for a reason, but good customer service is about recognising when exceptional circumstances deserve an exceptional response. Bark had every opportunity to show a bit of humanity and chose not to.

If you’re happy dealing with a company that sticks rigidly to policy regardless of the situation their customers are in, then Bark may be fine for you. Personally, I’ll remember how I was treated when I needed understanding the most.",Relevant,Customer,Medium,Billing / refunds,Medium,Relevant,Service Provider / Business,Poor ROI / expensive leads,Billing / refunds,Poor ROI / expensive leads | Billing / refunds,Medium,Primary: Poor ROI / expensive leads; Secondary: Billing / refunds,"Meaningful service, financial, trust, support, or account failure",Credits produced no jobs; cash refund refused despite hardship.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
69dd14143cb6866be78be8d4,Yell,1,2026-04-13 18:04:36+00:00,"*update…. Since yell’s response promising resolution I’m yet to receive any sort of communication. 
You can tell from their reply it’s an outright lie as they haven’t asked for any of my website info or how to find my account! How will they investigate?  they will even lie on trust pilot! Staggering! *



I rarely leave negative reviews, but my experience with Yell has been extremely disappointing and ongoing.

I paid for their website design service at the beginning of December last year. Since then, the website has never been properly completed, never fully went live, and was never even transferred over to my correct domain name.

In the months that followed, the only contact I received was from third-party businesses attempting to sell me additional products and services — not meaningful updates or support regarding my own website.

IN NEARLY 6 MONTHS I HAVEN'T HAD ***ONE**** LEAD

To put this into perspective, my own self-built Wix website continues to generate significantly more daily traffic than anything Yell has produced, despite this being a service costing thousands per year.

More recently, I have spent the past three weeks trying to get basic amendments made so that my studio’s website can finally function as intended. Nothing has been actioned. Responses take over a week, when they come at all, and the delays now feel excessive and unjustified.

I raised a formal complaint via email last week using the address provided and, to date, I have received no response whatsoever.

This is not an isolated issue either — my husband experienced similar problems with his own website through Yell.

At this stage, I am exploring options to recover my money through Trading Standards and other routes, as I do not feel the service delivered reflects what was promised or paid for.

I would strongly advise others to proceed with caution before committing to Yell’s website services.",Relevant,Service Provider / Business,High,Unresponsive leads,Medium,Relevant,Service Provider / Business,Platform usability / technical issues,Misleading claims / transparency,Platform usability / technical issues | Misleading claims / transparency,Medium,Primary: Platform usability / technical issues; Secondary: Misleading claims / transparency,"Meaningful service, financial, trust, support, or account failure","Paid business website service remained unfinished/not live, generated no leads, and support/complaints failed.",AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
6878ee70b4e9ce188639bbad,Checkatrade,2,2025-07-17 14:37:05+00:00,I got hold of the Electrician services through the Checkatrade leaflet. I have tried to get an Electrician through the app with unsuccessful search. No electrician wanted to service my job. The app is running through AI and it is not working. The best thing to do is get through the local Checkatrade leaflet information and contact details.,Relevant,Customer,High,Other / Manual Review,Low,Relevant,Customer,Finding a provider / low response,,Finding a provider / low response,Medium,Primary: Finding a provider / low response,Core marketplace task produced little/no usable provider response,App search failed to find an electrician; reviewer says AI/app does not work.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
