competitor,weakness,years_present,total_mentions,first_year,last_year
Bark,Billing / refunds,2,41,2025,2026
Bark,Privacy / unwanted contact,2,34,2025,2026
Bark,Poor matching / location,2,19,2025,2026
Bark,Poor ROI / expensive leads,2,18,2025,2026
Bark,Unresponsive leads,2,18,2025,2026
Bark,Poor lead quality,2,15,2025,2026
Bark,Pricing / quote transparency,2,14,2025,2026
Bark,Provider quality,2,14,2025,2026
Bark,Too many provider contacts / spam,2,13,2025,2026
Bark,Fake / invalid leads,2,12,2025,2026
Bark,Finding a provider / low response,2,12,2025,2026
Bark,Platform usability,1,12,2026,2026
Bark,Customer support,1,9,2026,2026
Bark,Misleading claims / transparency,1,9,2026,2026
Bark,Account / cancellation,1,7,2026,2026
Bark,Provider verification / safety,1,7,2026,2026
Bark,Too much provider competition,1,4,2026,2026
Bark,Dispute protection,1,3,2026,2026
Bark,Review trust,1,1,2026,2026
Checkatrade,Provider quality,2,33,2025,2026
Checkatrade,Billing / refunds,2,22,2025,2026
Checkatrade,Customer support,2,10,2025,2026
Checkatrade,Finding a provider / low response,2,10,2025,2026
Checkatrade,Privacy / unwanted contact,2,10,2025,2026
Checkatrade,Poor matching / location,2,9,2025,2026
Checkatrade,Pricing / quote transparency,2,9,2025,2026
Checkatrade,Provider verification / safety,2,9,2025,2026
Checkatrade,Misleading claims / transparency,2,7,2025,2026
Checkatrade,Review trust,2,7,2025,2026
Checkatrade,Unresponsive leads,2,7,2025,2026
Checkatrade,Account / cancellation,2,6,2025,2026
Checkatrade,Too many provider contacts / spam,2,6,2025,2026
Checkatrade,Dispute protection,2,5,2025,2026
Checkatrade,Poor lead quality,1,9,2026,2026
Checkatrade,Poor ROI / expensive leads,1,4,2026,2026
Checkatrade,Platform usability,1,3,2026,2026
Checkatrade,Fake / invalid leads,1,1,2026,2026
Yell,Billing / refunds,3,21,2024,2026
Yell,Misleading claims / transparency,3,16,2024,2026
Yell,Privacy / unwanted contact,3,13,2024,2026
Yell,Poor ROI / expensive leads,2,10,2025,2026
Yell,Poor matching / location,2,4,2025,2026
Yell,Customer support,2,3,2025,2026
Yell,Review trust,2,3,2024,2026
Yell,Finding a provider / low response,2,2,2024,2026
Yell,Account / cancellation,1,3,2026,2026
Yell,Provider quality,1,2,2025,2025
Yell,Unresponsive leads,1,2,2026,2026
Yell,Dispute protection,1,1,2026,2026
Yell,Poor lead quality,1,1,2026,2026
Yell,Provider verification / safety,1,1,2026,2026
Yelp,Privacy / unwanted contact,2,8,2024,2026
Yelp,Review trust,2,8,2025,2026
Yelp,Poor matching / location,2,2,2024,2026
Yelp,Misleading claims / transparency,1,12,2026,2026
Yelp,Billing / refunds,1,7,2026,2026
Yelp,Account / cancellation,1,3,2026,2026
Yelp,Customer support,1,2,2026,2026
Yelp,Dispute protection,1,2,2026,2026
Yelp,Poor ROI / expensive leads,1,2,2026,2026
Yelp,Poor lead quality,1,2,2026,2026
Yelp,Too many provider contacts / spam,1,1,2026,2026
Yelp,Unresponsive leads,1,1,2026,2026
