competitor,user_type,theme,reviews_mentioning_theme,side_sample_size,percent_of_side_sample,sample_warning
Bark,Customer,Provider quality / no-show,12,50,24.0,
Bark,Customer,Finding a provider / low response,9,50,18.0,
Bark,Customer,Platform usability / technical issues,9,50,18.0,
Bark,Customer,Provider verification / safety,8,50,16.0,
Bark,Customer,Poor matching / location,6,50,12.0,
Bark,Customer,Pricing / quote transparency,3,50,6.0,
Bark,Customer,Customer support,2,50,4.0,
Bark,Customer,Too many provider contacts / spam,2,50,4.0,
Bark,Customer,Dispute resolution / protection,1,50,2.0,
Bark,Customer,Misleading claims / transparency,1,50,2.0,
Bark,Customer,Privacy / unwanted contact,1,50,2.0,
Bark,Service Provider / Business,Unresponsive leads,12,41,29.3,
Bark,Service Provider / Business,Poor lead quality,11,41,26.8,
Bark,Service Provider / Business,Poor ROI / expensive leads,9,41,22.0,
Bark,Service Provider / Business,Fake / invalid leads,7,41,17.1,
Bark,Service Provider / Business,Billing / refunds,5,41,12.2,
Bark,Service Provider / Business,Privacy / unwanted contact,5,41,12.2,
Bark,Service Provider / Business,Platform usability / technical issues,4,41,9.8,
Bark,Service Provider / Business,Account access / cancellation,2,41,4.9,
Bark,Service Provider / Business,Customer support,2,41,4.9,
Bark,Service Provider / Business,Misleading claims / transparency,2,41,4.9,
Bark,Service Provider / Business,Sales pressure / contract terms,1,41,2.4,
Bark,Service Provider / Business,Too much provider competition,1,41,2.4,
Checkatrade,Customer,Provider quality / no-show,27,73,37.0,
Checkatrade,Customer,Finding a provider / low response,20,73,27.4,
Checkatrade,Customer,Provider verification / safety,7,73,9.6,
Checkatrade,Customer,Platform usability / technical issues,6,73,8.2,
Checkatrade,Customer,Privacy / unwanted contact,6,73,8.2,
Checkatrade,Customer,Review trust / moderation,5,73,6.8,
Checkatrade,Customer,Pricing / quote transparency,4,73,5.5,
Checkatrade,Customer,Poor matching / location,3,73,4.1,
Checkatrade,Customer,Too many provider contacts / spam,3,73,4.1,
Checkatrade,Customer,Dispute resolution / protection,2,73,2.7,
Checkatrade,Customer,Customer support,1,73,1.4,
Checkatrade,Service Provider / Business,Poor ROI / expensive leads,6,26,23.1,
Checkatrade,Service Provider / Business,Account access / cancellation,5,26,19.2,
Checkatrade,Service Provider / Business,Billing / refunds,5,26,19.2,
Checkatrade,Service Provider / Business,Poor lead quality,5,26,19.2,
Checkatrade,Service Provider / Business,Customer support,4,26,15.4,
Checkatrade,Service Provider / Business,Sales pressure / contract terms,4,26,15.4,
Checkatrade,Service Provider / Business,Misleading claims / transparency,3,26,11.5,
Checkatrade,Service Provider / Business,Fake / invalid leads,2,26,7.7,
Checkatrade,Service Provider / Business,Platform usability / technical issues,1,26,3.8,
Checkatrade,Service Provider / Business,Review trust / moderation,1,26,3.8,
Yell,Customer,Provider verification / safety,2,4,50.0,LOW SAMPLE - interpret cautiously
Yell,Customer,Privacy / unwanted contact,1,4,25.0,LOW SAMPLE - interpret cautiously
Yell,Customer,Review trust / moderation,1,4,25.0,LOW SAMPLE - interpret cautiously
Yell,Service Provider / Business,Poor ROI / expensive leads,40,93,43.0,
Yell,Service Provider / Business,Misleading claims / transparency,28,93,30.1,
Yell,Service Provider / Business,Account access / cancellation,15,93,16.1,
Yell,Service Provider / Business,Billing / refunds,15,93,16.1,
Yell,Service Provider / Business,Sales pressure / contract terms,15,93,16.1,
Yell,Service Provider / Business,Platform usability / technical issues,10,93,10.8,
Yell,Service Provider / Business,Customer support,8,93,8.6,
Yell,Service Provider / Business,Poor lead quality,4,93,4.3,
Yell,Service Provider / Business,Privacy / unwanted contact,4,93,4.3,
Yell,Service Provider / Business,Review trust / moderation,1,93,1.1,
Yelp,Customer,Review trust / moderation,14,20,70.0,
Yelp,Customer,Platform usability / technical issues,3,20,15.0,
Yelp,Customer,Customer support,2,20,10.0,
Yelp,Customer,Poor matching / location,2,20,10.0,
Yelp,Customer,Finding a provider / low response,1,20,5.0,
Yelp,Customer,Misleading claims / transparency,1,20,5.0,
Yelp,Customer,Privacy / unwanted contact,1,20,5.0,
Yelp,Service Provider / Business,Review trust / moderation,17,52,32.7,
Yelp,Service Provider / Business,Billing / refunds,12,52,23.1,
Yelp,Service Provider / Business,Poor ROI / expensive leads,11,52,21.2,
Yelp,Service Provider / Business,Account access / cancellation,8,52,15.4,
Yelp,Service Provider / Business,Misleading claims / transparency,8,52,15.4,
Yelp,Service Provider / Business,Sales pressure / contract terms,4,52,7.7,
Yelp,Service Provider / Business,Customer support,3,52,5.8,
Yelp,Service Provider / Business,Privacy / unwanted contact,3,52,5.8,
Yelp,Service Provider / Business,Platform usability / technical issues,2,52,3.8,
Yelp,Service Provider / Business,Fake / invalid leads,1,52,1.9,
Yelp,Service Provider / Business,Poor lead quality,1,52,1.9,
