theme,Bark,Checkatrade,Yell,Yelp
Account access / cancellation,2.1,5.1,15.3,11.0
Billing / refunds,5.3,5.1,15.3,16.4
Customer support,4.2,5.1,8.2,6.8
Dispute resolution / protection,1.1,2.0,0.0,0.0
Fake / invalid leads,7.4,2.0,0.0,1.4
Finding a provider / low response,10.5,20.2,0.0,1.4
Misleading claims / transparency,3.2,3.0,28.6,12.3
Platform usability / technical issues,15.8,7.1,10.2,8.2
Poor ROI / expensive leads,9.5,6.1,40.8,15.1
Poor lead quality,11.6,5.1,4.1,1.4
Poor matching / location,6.3,3.0,0.0,2.7
Pricing / quote transparency,3.2,4.0,0.0,0.0
Privacy / unwanted contact,7.4,6.1,6.1,5.5
Provider quality / no-show,12.6,27.3,0.0,0.0
Provider verification / safety,8.4,7.1,2.0,0.0
Review trust / moderation,0.0,6.1,2.0,42.5
Sales pressure / contract terms,1.1,4.0,15.3,5.5
Too many provider contacts / spam,2.1,3.0,0.0,0.0
Too much provider competition,1.1,0.0,0.0,0.0
Unresponsive leads,12.6,0.0,0.0,0.0
