theme,Bark,Checkatrade,Yell,Yelp
Customer support,4.0,1.4,0.0,10.0
Dispute resolution / protection,2.0,2.7,0.0,0.0
Finding a provider / low response,18.0,27.4,0.0,5.0
Misleading claims / transparency,2.0,0.0,0.0,5.0
Platform usability / technical issues,18.0,8.2,0.0,15.0
Poor matching / location,12.0,4.1,0.0,10.0
Pricing / quote transparency,6.0,5.5,0.0,0.0
Privacy / unwanted contact,2.0,8.2,25.0,5.0
Provider quality / no-show,24.0,37.0,0.0,0.0
Provider verification / safety,16.0,9.6,50.0,0.0
Review trust / moderation,0.0,6.8,25.0,70.0
Too many provider contacts / spam,4.0,4.1,0.0,0.0
