competitor,user_type,theme,reviews_mentioning_theme,side_sample_size,percent_of_side_sample,sample_warning,High,Low,Medium,average_severity_score,evidence_priority_score,high_severity_share
Bark,Customer,Provider quality / no-show,12,50,24.0,,3.0,0.0,9.0,2.25,54.0,25.0
Bark,Customer,Provider verification / safety,8,50,16.0,,3.0,0.0,5.0,2.38,38.1,37.5
Bark,Customer,Finding a provider / low response,9,50,18.0,,0.0,4.0,5.0,1.56,28.1,0.0
Bark,Customer,Platform usability / technical issues,9,50,18.0,,0.0,9.0,0.0,1.0,18.0,0.0
Bark,Customer,Poor matching / location,6,50,12.0,,0.0,4.0,2.0,1.33,16.0,0.0
Bark,Customer,Pricing / quote transparency,3,50,6.0,,0.0,0.0,3.0,2.0,12.0,0.0
Bark,Customer,Customer support,2,50,4.0,,0.0,0.0,2.0,2.0,8.0,0.0
Bark,Customer,Too many provider contacts / spam,2,50,4.0,,0.0,1.0,1.0,1.5,6.0,0.0
Bark,Customer,Dispute resolution / protection,1,50,2.0,,1.0,0.0,0.0,3.0,6.0,100.0
Bark,Customer,Misleading claims / transparency,1,50,2.0,,0.0,0.0,1.0,2.0,4.0,0.0
Bark,Customer,Privacy / unwanted contact,1,50,2.0,,0.0,1.0,0.0,1.0,2.0,0.0
Bark,Service Provider / Business,Unresponsive leads,12,41,29.3,,0.0,0.0,12.0,2.0,58.6,0.0
Bark,Service Provider / Business,Poor lead quality,11,41,26.8,,1.0,0.0,10.0,2.09,56.0,9.1
Bark,Service Provider / Business,Poor ROI / expensive leads,9,41,22.0,,1.0,0.0,8.0,2.11,46.4,11.1
Bark,Service Provider / Business,Fake / invalid leads,7,41,17.1,,0.0,0.0,7.0,2.0,34.2,0.0
Bark,Service Provider / Business,Billing / refunds,5,41,12.2,,0.0,0.0,5.0,2.0,24.4,0.0
Bark,Service Provider / Business,Privacy / unwanted contact,5,41,12.2,,0.0,2.0,3.0,1.6,19.5,0.0
Bark,Service Provider / Business,Platform usability / technical issues,4,41,9.8,,0.0,1.0,3.0,1.75,17.2,0.0
Bark,Service Provider / Business,Account access / cancellation,2,41,4.9,,0.0,0.0,2.0,2.0,9.8,0.0
Bark,Service Provider / Business,Customer support,2,41,4.9,,0.0,0.0,2.0,2.0,9.8,0.0
Bark,Service Provider / Business,Misleading claims / transparency,2,41,4.9,,0.0,0.0,2.0,2.0,9.8,0.0
Bark,Service Provider / Business,Sales pressure / contract terms,1,41,2.4,,0.0,0.0,1.0,2.0,4.8,0.0
Bark,Service Provider / Business,Too much provider competition,1,41,2.4,,0.0,1.0,0.0,1.0,2.4,0.0
Checkatrade,Customer,Provider quality / no-show,27,73,37.0,,3.0,0.0,24.0,2.11,78.1,11.1
Checkatrade,Customer,Finding a provider / low response,20,73,27.4,,0.0,8.0,12.0,1.6,43.8,0.0
Checkatrade,Customer,Provider verification / safety,7,73,9.6,,3.0,0.0,4.0,2.43,23.3,42.9
Checkatrade,Customer,Review trust / moderation,5,73,6.8,,0.0,0.0,5.0,2.0,13.6,0.0
Checkatrade,Customer,Pricing / quote transparency,4,73,5.5,,0.0,0.0,4.0,2.0,11.0,0.0
Checkatrade,Customer,Privacy / unwanted contact,6,73,8.2,,0.0,4.0,2.0,1.33,10.9,0.0
Checkatrade,Customer,Platform usability / technical issues,6,73,8.2,,0.0,5.0,1.0,1.17,9.6,0.0
Checkatrade,Customer,Poor matching / location,3,73,4.1,,0.0,1.0,2.0,1.67,6.8,0.0
Checkatrade,Customer,Too many provider contacts / spam,3,73,4.1,,0.0,2.0,1.0,1.33,5.5,0.0
Checkatrade,Customer,Dispute resolution / protection,2,73,2.7,,0.0,0.0,2.0,2.0,5.4,0.0
Checkatrade,Customer,Customer support,1,73,1.4,,0.0,0.0,1.0,2.0,2.8,0.0
Checkatrade,Service Provider / Business,Poor ROI / expensive leads,6,26,23.1,,0.0,0.0,6.0,2.0,46.2,0.0
