theme,Bark,Checkatrade,Yell,Yelp
Account access / cancellation,4.9,19.2,16.1,15.4
Billing / refunds,12.2,19.2,16.1,23.1
Customer support,4.9,15.4,8.6,5.8
Fake / invalid leads,17.1,7.7,0.0,1.9
Misleading claims / transparency,4.9,11.5,30.1,15.4
Platform usability / technical issues,9.8,3.8,10.8,3.8
Poor ROI / expensive leads,22.0,23.1,43.0,21.2
Poor lead quality,26.8,19.2,4.3,1.9
Privacy / unwanted contact,12.2,0.0,4.3,5.8
Review trust / moderation,0.0,3.8,1.1,32.7
Sales pressure / contract terms,2.4,15.4,16.1,7.7
Too much provider competition,2.4,0.0,0.0,0.0
Unresponsive leads,29.3,0.0,0.0,0.0
