borough_code,borough,ons_industry_group,local_unit_count
E09000002,Barking and Dagenham,"01-03 : Agriculture, forestry & fishing",15
E09000002,Barking and Dagenham,05-39 : Production,370
E09000002,Barking and Dagenham,41-43 : Construction,2055
E09000002,Barking and Dagenham,45 : Motor trades,310
E09000002,Barking and Dagenham,46 : Wholesale,470
E09000002,Barking and Dagenham,47 : Retail,960
E09000002,Barking and Dagenham,49-53 : Transport & Storage (inc. postal),715
E09000002,Barking and Dagenham,55-56 : Accommodation & food services,505
E09000002,Barking and Dagenham,58-63 : Information & communication,435
E09000002,Barking and Dagenham,64-66 : Finance & insurance,70
E09000002,Barking and Dagenham,68 : Property,250
E09000002,Barking and Dagenham,"69-75 : Professional, scientific & technical",760
E09000002,Barking and Dagenham,77-82 : Business administration & support services,840
E09000002,Barking and Dagenham,84 : Public administration & defence,165
E09000002,Barking and Dagenham,85 : Education,205
E09000002,Barking and Dagenham,86-88 : Health,540
E09000002,Barking and Dagenham,"90-99 : Arts, entertainment, recreation & other services",445
E09000003,Barnet,"01-03 : Agriculture, forestry & fishing",45
E09000003,Barnet,05-39 : Production,655
E09000003,Barnet,41-43 : Construction,3795
E09000003,Barnet,45 : Motor trades,380
E09000003,Barnet,46 : Wholesale,1215
E09000003,Barnet,47 : Retail,2435
E09000003,Barnet,49-53 : Transport & Storage (inc. postal),710
E09000003,Barnet,55-56 : Accommodation & food services,1255
E09000003,Barnet,58-63 : Information & communication,2190
E09000003,Barnet,64-66 : Finance & insurance,570
E09000003,Barnet,68 : Property,2715
E09000003,Barnet,"69-75 : Professional, scientific & technical",4515
E09000003,Barnet,77-82 : Business administration & support services,2285
E09000003,Barnet,84 : Public administration & defence,40
E09000003,Barnet,85 : Education,660
E09000003,Barnet,86-88 : Health,1475
E09000003,Barnet,"90-99 : Arts, entertainment, recreation & other services",1825
E09000004,Bexley,"01-03 : Agriculture, forestry & fishing",10
E09000004,Bexley,05-39 : Production,415
E09000004,Bexley,41-43 : Construction,2125
E09000004,Bexley,45 : Motor trades,260
E09000004,Bexley,46 : Wholesale,355
E09000004,Bexley,47 : Retail,830
E09000004,Bexley,49-53 : Transport & Storage (inc. postal),480
E09000004,Bexley,55-56 : Accommodation & food services,645
E09000004,Bexley,58-63 : Information & communication,660
E09000004,Bexley,64-66 : Finance & insurance,110
E09000004,Bexley,68 : Property,285
E09000004,Bexley,"69-75 : Professional, scientific & technical",1155
E09000004,Bexley,77-82 : Business administration & support services,835
E09000004,Bexley,84 : Public administration & defence,25
E09000004,Bexley,85 : Education,250
E09000004,Bexley,86-88 : Health,540
E09000004,Bexley,"90-99 : Arts, entertainment, recreation & other services",615
E09000005,Brent,"01-03 : Agriculture, forestry & fishing",10
E09000005,Brent,05-39 : Production,575
E09000005,Brent,41-43 : Construction,2475
E09000005,Brent,45 : Motor trades,455
E09000005,Brent,46 : Wholesale,935
E09000005,Brent,47 : Retail,1890
E09000005,Brent,49-53 : Transport & Storage (inc. postal),895
E09000005,Brent,55-56 : Accommodation & food services,1135
E09000005,Brent,58-63 : Information & communication,1350
E09000005,Brent,64-66 : Finance & insurance,220
E09000005,Brent,68 : Property,955
E09000005,Brent,"69-75 : Professional, scientific & technical",2145
E09000005,Brent,77-82 : Business administration & support services,1425
E09000005,Brent,84 : Public administration & defence,35
E09000005,Brent,85 : Education,380
E09000005,Brent,86-88 : Health,865
E09000005,Brent,"90-99 : Arts, entertainment, recreation & other services",1230
E09000006,Bromley,"01-03 : Agriculture, forestry & fishing",50
E09000006,Bromley,05-39 : Production,500
E09000006,Bromley,41-43 : Construction,2605
E09000006,Bromley,45 : Motor trades,270
E09000006,Bromley,46 : Wholesale,465
E09000006,Bromley,47 : Retail,1335
E09000006,Bromley,49-53 : Transport & Storage (inc. postal),380
E09000006,Bromley,55-56 : Accommodation & food services,960
E09000006,Bromley,58-63 : Information & communication,1470
E09000006,Bromley,64-66 : Finance & insurance,295
E09000006,Bromley,68 : Property,680
