service_family,ons_industry_group
Accessibility & Mobility Services,86-88 : Health
Accessibility & Mobility Services,47 : Retail
Accounting & Finance Services,64-66 : Finance & insurance
Accounting & Finance Services,"69-75 : Professional, scientific & technical"
Agricultural & Rural Services,"01-03 : Agriculture, forestry & fishing"
Air Conditioning & Ventilation,41-43 : Construction
Appliance & Equipment Services,"90-99 : Arts, entertainment, recreation & other services"
Appliance & Equipment Services,47 : Retail
Appliance Repair,"90-99 : Arts, entertainment, recreation & other services"
"Architecture, Surveying & Planning","69-75 : Professional, scientific & technical"
Asbestos & Hazardous Material Services,41-43 : Construction
Asbestos & Hazardous Material Services,"69-75 : Professional, scientific & technical"
Bathroom Services,41-43 : Construction
Beauty & Personal Care,"90-99 : Arts, entertainment, recreation & other services"
Beauty & Skincare,86-88 : Health
Beauty & Wellness,"90-99 : Arts, entertainment, recreation & other services"
Blinds & Shutters,"90-99 : Arts, entertainment, recreation & other services"
Building & Construction,41-43 : Construction
Business & Administrative Services,"69-75 : Professional, scientific & technical"
Business & Administrative Services,77-82 : Business administration & support services
Carpentry & Joinery,"90-99 : Arts, entertainment, recreation & other services"
Ceiling & Interior Finishes,"90-99 : Arts, entertainment, recreation & other services"
Childcare & Care Services,86-88 : Health
Childcare & Care Services,85 : Education
Chimney & Fireplace Services,41-43 : Construction
Chimney Services,"90-99 : Arts, entertainment, recreation & other services"
Cladding & Exterior Finishes,41-43 : Construction
Cleaning Services,77-82 : Business administration & support services
Coaching & Personal Development,"69-75 : Professional, scientific & technical"
Coaching & Personal Development,85 : Education
Commercial & Business Property Services,68 : Property
Commercial & Business Property Services,"69-75 : Professional, scientific & technical"
Concrete & Aggregate Services,41-43 : Construction
Conservatory Services,41-43 : Construction
"Curtains, Awnings & Window Dressings",41-43 : Construction
"Damp, Waterproofing & Restoration",41-43 : Construction
Decking Services,41-43 : Construction
Delivery Services,49-53 : Transport & Storage (inc. postal)
Doors & Door Services,41-43 : Construction
"Doors, Windows & Glazing",41-43 : Construction
Driveways & Paving,"90-99 : Arts, entertainment, recreation & other services"
"Driveways, Paving & Surfacing",41-43 : Construction
Electrical Services,41-43 : Construction
Electronics Repair Services,58-63 : Information & communication
Electronics Repair Services,"90-99 : Arts, entertainment, recreation & other services"
Events & Creative,"90-99 : Arts, entertainment, recreation & other services"
Events & Wedding Services,"90-99 : Arts, entertainment, recreation & other services"
Events & Wedding Services,77-82 : Business administration & support services
"Fabric, Clothing & Specialist Repair","90-99 : Arts, entertainment, recreation & other services"
Fencing & Gates,"90-99 : Arts, entertainment, recreation & other services"
