platform,raw_service_original,raw_service,source_version,source_url,source_type,collection_date,coverage_note,geography_scope
Airtasker,Accounting,Accounting,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Accounting Tutor,Accounting Tutor,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Acrylic Worktop Installation,Acrylic Worktop Installation,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Acting Lessons,Acting Lessons,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Acupuncture,Acupuncture,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Admin,Admin,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Adobe Photoshop Designer,Adobe Photoshop Designer,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Adult Swimming Lessons,Adult Swimming Lessons,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Advertising,Advertising,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Aerial and Drone Photographers,Aerial and Drone Photographers,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Aerobics Classes,Aerobics Classes,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Afro Barbers,Afro Barbers,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,After Builders Cleaning,After Builders Cleaning,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,After School Care & Pick Up,After School Care & Pick Up,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Aged Care,Aged Care,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Air Source Heat Pump Installation & Repairs,Air Source Heat Pump Installation & Repairs,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Airbnb Cleaning,Airbnb Cleaning,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Aircon Cleaning,Aircon Cleaning,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Aircon Installation,Aircon Installation,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Aircon Repair,Aircon Repair,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Alarm Servicing,Alarm Servicing,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Alcohol Counselling,Alcohol Counselling,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Aldi Grocery Delivery,Aldi Grocery Delivery,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Alfa Romeo Service,Alfa Romeo Service,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Alloy Wheel Repair,Alloy Wheel Repair,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Alterations,Alterations,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Alternator Repair,Alternator Repair,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Alternator Replacement,Alternator Replacement,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Aluminium Fencing,Aluminium Fencing,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Aluminium Gutters,Aluminium Gutters,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Amplifier Repair,Amplifier Repair,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Android App Development,Android App Development,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Anger Management Therapy,Anger Management Therapy,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Antenna Installation,Antenna Installation,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
