platform,raw_service_original,raw_service,canonical_service,service_family,source_version,source_url,source_type,collection_date,coverage_note,geography_scope
Airtasker,Accounting,Accounting,Accounting,Other / Unmapped,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Accounting Tutor,Accounting Tutor,Tutoring & Lessons,Education & Lessons,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Acrylic Worktop Installation,Acrylic Worktop Installation,Kitchen Services,Home & Trades,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Acting Lessons,Acting Lessons,Tutoring & Lessons,Education & Lessons,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Acupuncture,Acupuncture,Acupuncture,Other / Unmapped,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Admin,Admin,Admin,Other / Unmapped,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Adobe Photoshop Designer,Adobe Photoshop Designer,Adobe Photoshop Designer,Other / Unmapped,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Adult Swimming Lessons,Adult Swimming Lessons,Tutoring & Lessons,Education & Lessons,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Advertising,Advertising,Advertising,Other / Unmapped,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Aerial and Drone Photographers,Aerial and Drone Photographers,Aerial & Satellite Services,Home & Trades,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Aerobics Classes,Aerobics Classes,Aerobics Classes,Other / Unmapped,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Afro Barbers,Afro Barbers,Hair & Barber Services,Beauty & Wellness,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,After Builders Cleaning,After Builders Cleaning,Building & Construction,Home & Trades,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,After School Care & Pick Up,After School Care & Pick Up,After School Care & Pick Up,Other / Unmapped,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Aged Care,Aged Care,Aged Care,Other / Unmapped,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Air Source Heat Pump Installation & Repairs,Air Source Heat Pump Installation & Repairs,Air Source Heat Pump Installation & Repairs,Other / Unmapped,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
Airtasker,Airbnb Cleaning,Airbnb Cleaning,Cleaning,Cleaning & Household,V2,https://www.airtasker.com/uk/services/,all_services_page,2026-09-05,Airtasker UK service taxonomy.,London
