service_family,sub_service,platform_count
Accessibility & Mobility Services,Access Ramp Installation,1
Accessibility & Mobility Services,Accessibility Installation,1
Accessibility & Mobility Services,Accessible Kitchens,1
Accessibility & Mobility Services,Adjustable Beds,1
Accessibility & Mobility Services,Disabled Access / Mobility Service,1
Accessibility & Mobility Services,Disabled Bathrooms / Showers,1
Accessibility & Mobility Services,Emergency Mobility Service,1
Accessibility & Mobility Services,Mobility,1
Accessibility & Mobility Services,Mobility Adaptions,1
Accessibility & Mobility Services,Mobility Aids,1
Accessibility & Mobility Services,Mobility Scooter Repair,1
Accessibility & Mobility Services,Mobility Scooter Service,1
Accessibility & Mobility Services,Mobility Scooters,1
Accessibility & Mobility Services,Stairlift Services,1
Accessibility & Mobility Services,Wheelchairs Manual / Electric,1
Accounting & Finance Services,Accounting,3
Accounting & Finance Services,Bookkeeping,1
Accounting & Finance Services,Budgeting Help,1
Accounting & Finance Services,Financial Advice,1
Accounting & Finance Services,Financial Advisor,1
Accounting & Finance Services,Financial Modelling,1
Accounting & Finance Services,Financial Planning,1
Accounting & Finance Services,Financial Reporting,1
Accounting & Finance Services,Mortgage Advisor,1
Accounting & Finance Services,Mortgage Services,1
Accounting & Finance Services,Pension Advice,1
Accounting & Finance Services,Tax Advisory,1
Agricultural & Rural Services,Agricultural Building,1
Agricultural & Rural Services,Agricultural Contractor,1
Agricultural & Rural Services,Agricultural Irrigation,1
Agricultural & Rural Services,Agricultural Merchant,1
Agricultural & Rural Services,Drip Irrigation Systems,1
Agricultural & Rural Services,Farm Gate,1
Agricultural & Rural Services,Irrigation Repair,1
Agricultural & Rural Services,Irrigation Systems,1
Agricultural & Rural Services,Soil Irrigation / Drainage,1
Agricultural & Rural Services,borehole,1
Air Conditioning & Ventilation,General Air Conditioning,3
Air Conditioning & Ventilation,Air Conditioning Servicing,2
Air Conditioning & Ventilation,Air Conditioning Installation,1
Air Conditioning & Ventilation,Air Conditioning Repair,1
Air Conditioning & Ventilation,Aircon Installation,1
Air Conditioning & Ventilation,Aircon Repair,1
Air Conditioning & Ventilation,Car Aircon Regas,1
Air Conditioning & Ventilation,Car Aircon Repair,1
Air Conditioning & Ventilation,Ventilation Services,1
Appliance & Equipment Services,Appliance Installation,1
Appliance & Equipment Services,Appliance Retailer,1
Appliance & Equipment Services,Appliance Services / Repair,1
Appliance & Equipment Services,BBQ Repair,1
Appliance & Equipment Services,Chainsaw Service & Repair,1
Appliance & Equipment Services,Coffee Machine Repair,1
