canonical_service,service_family,platform_count,platforms,raw_label_count
Cleaning,Cleaning & Household,6,Airtasker | Bark | Checkatrade | MyJobQuote | Rated People | Yell,91
Beauty & Skincare,Beauty & Wellness,6,Airtasker | Booksy | Checkatrade | Fresha | Treatwell | Yell,16
Roofing & Guttering,Home & Trades,5,Airtasker | Bark | Checkatrade | Rated People | Yell,196
Removals & Moving,Cleaning & Household,5,Airtasker | Bark | Booksy | Checkatrade | Rated People,85
Building & Construction,Home & Trades,5,Airtasker | Bark | Checkatrade | Rated People | Yell,75
Painting & Decorating,Home & Trades,5,Airtasker | Bark | Checkatrade | Rated People | Yell,74
Electrical Services,Home & Trades,5,Airtasker | Bark | Checkatrade | Rated People | Yell,70
Gardening & Landscaping,Home & Trades,5,Airtasker | Bark | Checkatrade | Rated People | Yell,62
Plumbing,Home & Trades,5,Airtasker | Bark | Checkatrade | Rated People | Yell,24
Locksmith,Home & Trades,5,Airtasker | Bark | Checkatrade | Rated People | Yell,14
Hair & Barber Services,Beauty & Wellness,5,Airtasker | Booksy | Fresha | Treatwell | Yell,11
Spa & Wellness,Beauty & Wellness,5,Airtasker | Bark | Booksy | Checkatrade | Fresha,7
Windows & Glazing,Home & Trades,4,Airtasker | Checkatrade | Rated People | Yell,77
Security Systems,Home & Trades,4,Airtasker | Bark | Checkatrade | Rated People,41
Bathroom Services,Home & Trades,4,Airtasker | Bark | Checkatrade | Rated People,36
Fencing & Gates,Home & Trades,4,Airtasker | Checkatrade | Rated People | Yell,32
Driveways & Paving,Home & Trades,4,Airtasker | Bark | Checkatrade | Rated People,28
Carpentry & Joinery,Home & Trades,4,Airtasker | Checkatrade | Rated People | Yell,19
Aerial & Satellite Services,Home & Trades,4,Airtasker | Bark | Checkatrade | Rated People,12
Appliance Repair,Repair Services,4,Airtasker | Checkatrade | Rated People | Yell,11
Air Conditioning & Ventilation,Home & Trades,4,Airtasker | Bark | Checkatrade | Rated People,9
Architectural Services,Professional Services,4,Airtasker | Bark | Checkatrade | Yell,7
Fitness & Personal Training,Health & Fitness,4,Airtasker | Bark | Booksy | Fresha,6
Nail Services,Beauty & Wellness,4,Airtasker | Booksy | Fresha | Treatwell,6
Doors & Door Services,Home & Trades,3,Airtasker | Checkatrade | Rated People,76
Heating & Boiler Services,Home & Trades,3,Airtasker | Checkatrade | Rated People,69
Flooring,Home & Trades,3,Airtasker | Checkatrade | Rated People,58
Plastering & Rendering,Home & Trades,3,Airtasker | Checkatrade | Rated People,56
Kitchen Services,Home & Trades,3,Airtasker | Checkatrade | Rated People,53
Furniture Assembly,Repair Services,3,Airtasker | Checkatrade | Rated People,37
Therapy & Counselling,Health & Fitness,3,Airtasker | Bark | Fresha,24
Insulation,Home & Trades,3,Airtasker | Checkatrade | Rated People,16
Damp & Waterproofing,Home & Trades,3,Airtasker | Checkatrade | Rated People,15
Tiling,Home & Trades,3,Airtasker | Checkatrade | Rated People,12
Tyre Services,Automotive,3,Airtasker | Checkatrade | Yell,11
Tattoo & Piercing,Beauty & Wellness,3,Airtasker | Booksy | Fresha,10
Catering,Events & Creative,3,Airtasker | Bark | Checkatrade,9
Vehicle Repair,Automotive,3,Airtasker | Checkatrade | Yell,8
Pest Control,Home & Trades,3,Airtasker | Checkatrade | Rated People,6
Car Cleaning & Detailing,Automotive,3,Airtasker | Checkatrade | Yell,5
Demolition,Home & Trades,3,Airtasker | Checkatrade | Rated People,4
Handyman,Home & Trades,3,Airtasker | Checkatrade | Yell,4
Pet Grooming,Pet Services,3,Airtasker | Fresha | Yell,4
Rubbish Removal,Cleaning & Household,3,Airtasker | Checkatrade | Rated People,4
Massage,Beauty & Wellness,3,Booksy | Fresha | Yell,3
Web Design & Development,Professional Services,3,Airtasker | Bark | Checkatrade,3
Bespoke Furniture,Other / Unmapped,3,Airtasker | Checkatrade | Rated People,1
Cladding,Other / Unmapped,3,Airtasker | Checkatrade | Rated People,1
House Clearance,Other / Unmapped,3,Airtasker | Checkatrade | Rated People,1
Screeding,Other / Unmapped,3,Airtasker | Checkatrade | Rated People,1
Skip Hire,Other / Unmapped,3,Airtasker | Checkatrade | Yell,1
Solar Panel Installation,Other / Unmapped,3,Airtasker | Checkatrade | Rated People,1
Tree Felling,Other / Unmapped,3,Airtasker | Checkatrade | Rated People,1
Tutoring & Lessons,Education & Lessons,2,Airtasker | Bark,109
Photography,Events & Creative,2,Airtasker | Bark,19
Furniture Repair,Repair Services,2,Airtasker | Checkatrade,10
Surveying,Professional Services,2,Airtasker | Checkatrade,9
Marketing Services,Professional Services,2,Airtasker | Bark,7
Motorcycle Services,Automotive,2,Airtasker | Checkatrade,7
Computer Repair,Repair Services,2,Airtasker | Checkatrade,5
Hair Removal,Beauty & Wellness,2,Airtasker | Fresha,5
Interior Design,Professional Services,2,Airtasker | Checkatrade,5
Scaffolding,Home & Trades,2,Checkatrade | Rated People,4
Accounting & Bookkeeping,Professional Services,2,Bark | Yell,2
Aesthetics & Medspa,Beauty & Wellness,2,Booksy | Fresha,2
DJ Services,Events & Creative,2,Airtasker | Bark,2
Legal Services,Professional Services,2,Airtasker | Yell,2
Phone & Device Repair,Repair Services,2,Airtasker | Checkatrade,2
Physiotherapy,Health & Fitness,2,Airtasker | Fresha,2
Pressure Washing,Cleaning & Household,2,Airtasker | Checkatrade,2
Tanning,Beauty & Wellness,2,Airtasker | Fresha,2
Accounting,Other / Unmapped,2,Airtasker | Bark,1
Affiliates,Other / Unmapped,2,Bark | Rated People,1
Bath Resurfacing,Other / Unmapped,2,Checkatrade | Rated People,1
Built,Other / Unmapped,2,Airtasker | Checkatrade,1
Car Key Replacement,Other / Unmapped,2,Airtasker | Checkatrade,1
Chimney Sweep,Other / Unmapped,2,Airtasker | Checkatrade,1
Concrete Repair,Other / Unmapped,2,Airtasker | Checkatrade,1
Concreting,Other / Unmapped,2,Airtasker | Checkatrade,1
