service_family,sub_service,platform_count,platforms,raw_label_count,row_count
Cleaning Services,General Cleaning,5,Airtasker | Bark | Checkatrade | Rated People | Yell,97,119
Removals & Moving,General Removals,5,Airtasker | Bark | Booksy | Checkatrade | Rated People,78,80
Painting & Decorating,General Painting & Decorating,5,Airtasker | Bark | Checkatrade | Rated People | Yell,70,71
Roofing Services,General Roofing,5,Airtasker | Bark | Checkatrade | Rated People | Yell,68,75
Building & Construction,General Building,5,Airtasker | Bark | Checkatrade | Rated People | Yell,28,31
Plumbing Services,General Plumbing,5,Airtasker | Bark | Checkatrade | Rated People | Yell,18,22
Gardening & Landscaping,General Gardening,5,Airtasker | Bark | Checkatrade | Rated People | Yell,7,9
Cleaning Services,Domestic Cleaning,5,Airtasker | Bark | Checkatrade | Rated People | Yell,5,6
Electrical Services,General Electrical Services,5,Airtasker | Bark | Checkatrade | Rated People | Yell,5,10
Hair & Barber Services,Hairdressing,5,Airtasker | Booksy | Fresha | Treatwell | Yell,5,9
Fencing & Gates,General Fencing,4,Airtasker | Checkatrade | Rated People | Yell,23,25
Carpentry & Joinery,General Carpentry & Joinery,4,Airtasker | Checkatrade | Rated People | Yell,18,18
Pool & Hot Tub Services,Swimming Pool Services,4,Airtasker | Bark | Checkatrade | Rated People,10,11
Gardening & Landscaping,Landscaping,4,Airtasker | Bark | Checkatrade | Rated People,7,10
"Architecture, Surveying & Planning",Architectural Services,4,Airtasker | Bark | Checkatrade | Yell,5,6
"Handyman, Assembly & Mounting",General Handyman,4,Airtasker | Checkatrade | Rated People | Yell,5,6
Nail Services,General Nail Services,4,Airtasker | Booksy | Fresha | Treatwell,3,4
Flooring,General Flooring,3,Airtasker | Checkatrade | Rated People,25,32
Roofing Services,Roof Repair,3,Airtasker | Bark | Checkatrade,23,24
Blinds & Shutters,General Blinds & Shutters,3,Airtasker | Checkatrade | Rated People,19,19
Chimney Services,General Chimney Services,3,Airtasker | Checkatrade | Rated People,16,16
Heating & Boiler Services,General Heating Services,3,Airtasker | Checkatrade | Rated People,16,17
Roofing Services,Roof Installation,3,Airtasker | Checkatrade | Rated People,16,16
Therapy & Counselling,Therapy,3,Airtasker | Bark | Fresha,15,15
Insulation Services,General Insulation,3,Airtasker | Checkatrade | Rated People,14,16
Plastering & Rendering,Rendering,3,Airtasker | Checkatrade | Rated People,14,14
Heating & Boiler Services,Boiler Servicing,3,Airtasker | Checkatrade | Rated People,13,13
Tiling,General Tiling,3,Airtasker | Checkatrade | Rated People,12,15
Heating & Boiler Services,Boiler Installation,3,Airtasker | Checkatrade | Rated People,10,10
Carpentry & Joinery,Staircase Services,3,Airtasker | Checkatrade | Rated People,9,10
Driveways & Paving,Paving,3,Airtasker | Checkatrade | Rated People,9,9
Events & Creative,Catering,3,Airtasker | Bark | Checkatrade,9,10
Heating & Boiler Services,Boiler Repair,3,Airtasker | Checkatrade | Rated People,8,9
Roofing Services,Fascia & Soffit Services,3,Airtasker | Checkatrade | Rated People,8,8
Conservatory Services,General Conservatory Services,3,Airtasker | Checkatrade | Rated People,7,8
Vehicle Services,MOT Testing,3,Airtasker | Checkatrade | Yell,7,7
Windows & Glazing,Double Glazing,3,Airtasker | Checkatrade | Rated People,6,7
Gardening & Landscaping,Lawn Mowing,3,Airtasker | Checkatrade | Rated People,5,5
Locksmith Services,General Locksmith,3,Airtasker | Checkatrade | Rated People,5,7
Stone & Masonry Services,Stonemasonry,3,Airtasker | Checkatrade | Rated People,5,5
Tattoo & Piercing,Piercing Services,3,Airtasker | Booksy | Fresha,5,5
Vehicle Services,Tyre Services,3,Airtasker | Checkatrade | Yell,5,5
"Water Treatment, Tanks & Pumps",Water Tank Services,3,Airtasker | Checkatrade | Rated People,5,5
Air Conditioning & Ventilation,General Air Conditioning,3,Bark | Checkatrade | Rated People,4,4
Building & Construction,Bricklaying,3,Airtasker | Checkatrade | Rated People,4,6
Building & Construction,Demolition,3,Airtasker | Checkatrade | Rated People,4,6
Building & Construction,Loft Conversion,3,Airtasker | Checkatrade | Rated People,4,6
Conservatory Services,Conservatory Installation,3,Airtasker | Checkatrade | Rated People,4,4
Gardening & Landscaping,Tree Surgery,3,Airtasker | Checkatrade | Rated People,4,5
IT Support & Device Services,General IT Support,3,Airtasker | Bark | Checkatrade,4,4
Pet Services,Pet Grooming,3,Airtasker | Fresha | Yell,4,5
Vehicle Services,Car Valeting,3,Airtasker | Checkatrade | Yell,4,4
Accounting & Finance Services,Accounting,3,Airtasker | Bark | Yell,3,4
