platform,raw_service,geography_scope,source_url,source_type,collection_date,coverage_note,platform_key,service_key,comparison_key,source_version
MyBuilder,Cambridge,London,https://www.mybuilder.com/trades,trade_directory,2026-09-05,Public trades/professions page.,mybuilder,cambridge,mybuilder||cambridge,V2
MyBuilder,Derby,London,https://www.mybuilder.com/trades,trade_directory,2026-09-05,Public trades/professions page.,mybuilder,derby,mybuilder||derby,V2
MyBuilder,Leicester,London,https://www.mybuilder.com/trades,trade_directory,2026-09-05,Public trades/professions page.,mybuilder,leicester,mybuilder||leicester,V2
MyBuilder,Milton Keynes,London,https://www.mybuilder.com/trades,trade_directory,2026-09-05,Public trades/professions page.,mybuilder,milton keynes,mybuilder||milton keynes,V2
MyBuilder,Newcastle Upon Tyne,London,https://www.mybuilder.com/trades,trade_directory,2026-09-05,Public trades/professions page.,mybuilder,newcastle upon tyne,mybuilder||newcastle upon tyne,V2
MyBuilder,Northampton,London,https://www.mybuilder.com/trades,trade_directory,2026-09-05,Public trades/professions page.,mybuilder,northampton,mybuilder||northampton,V2
MyBuilder,Norwich,London,https://www.mybuilder.com/trades,trade_directory,2026-09-05,Public trades/professions page.,mybuilder,norwich,mybuilder||norwich,V2
MyBuilder,Reading,London,https://www.mybuilder.com/trades,trade_directory,2026-09-05,Public trades/professions page.,mybuilder,reading,mybuilder||reading,V2
MyBuilder,Southampton,London,https://www.mybuilder.com/trades,trade_directory,2026-09-05,Public trades/professions page.,mybuilder,southampton,mybuilder||southampton,V2
MyBuilder,Stockport,London,https://www.mybuilder.com/trades,trade_directory,2026-09-05,Public trades/professions page.,mybuilder,stockport,mybuilder||stockport,V2
MyBuilder,Stoke On Trent,London,https://www.mybuilder.com/trades,trade_directory,2026-09-05,Public trades/professions page.,mybuilder,stoke on trent,mybuilder||stoke on trent,V2
Rated People,Access Control / Door Entry,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,access control door entry,rated people||access control door entry,V2
Rated People,Aerial & Satellite Dish Installation,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,aerial and satellite dish installation,rated people||aerial and satellite dish installation,V2
