platform,raw_service,source_url,source_type,collection_date,coverage_note,platform_key,service_key,comparison_key,source_version,keep_from_v1,review_reason
Checkatrade,02394 317546,https://join.checkatrade.com/what-you-get/,public_category_page,2026-08-22,Checkatrade public category/onboarding page.,checkatrade,02394 317546,checkatrade||02394 317546,V1,,
Checkatrade,Advice Centre,https://join.checkatrade.com/what-you-get/,public_category_page,2026-08-22,Checkatrade public category/onboarding page.,checkatrade,advice centre,checkatrade||advice centre,V1,,
Checkatrade,Build your reputation,https://join.checkatrade.com/what-you-get/,public_category_page,2026-08-22,Checkatrade public category/onboarding page.,checkatrade,build your reputation,checkatrade||build your reputation,V1,,
Checkatrade,Eligibility Criteria and T&C’s apply,https://join.checkatrade.com/what-you-get/,public_category_page,2026-08-22,Checkatrade public category/onboarding page.,checkatrade,eligibility criteria and tandcs apply,checkatrade||eligibility criteria and tandcs apply,V1,,
Checkatrade,"Feature your business in our national printed directories delivered in over 55,000 inserts.",https://join.checkatrade.com/what-you-get/,public_category_page,2026-08-22,Checkatrade public category/onboarding page.,checkatrade,feature your business in our national printed directories delivered in over 55000 inserts,checkatrade||feature your business in our national printed directories delivered in over 55000 inserts,V1,,
Checkatrade,Member T&C’s apply,https://join.checkatrade.com/what-you-get/,public_category_page,2026-08-22,Checkatrade public category/onboarding page.,checkatrade,member tandcs apply,checkatrade||member tandcs apply,V1,,
Checkatrade,Overview,https://join.checkatrade.com/what-you-get/,public_category_page,2026-08-22,Checkatrade public category/onboarding page.,checkatrade,overview,checkatrade||overview,V1,,
Checkatrade,Perks,https://join.checkatrade.com/what-you-get/,public_category_page,2026-08-22,Checkatrade public category/onboarding page.,checkatrade,perks,checkatrade||perks,V1,,
Checkatrade,Skip to content,https://join.checkatrade.com/what-you-get/,public_category_page,2026-08-22,Checkatrade public category/onboarding page.,checkatrade,skip to content,checkatrade||skip to content,V1,,
Checkatrade,Testimonials,https://join.checkatrade.com/what-you-get/,public_category_page,2026-08-22,Checkatrade public category/onboarding page.,checkatrade,testimonials,checkatrade||testimonials,V1,,
Checkatrade,View our prices,https://join.checkatrade.com/what-you-get/,public_category_page,2026-08-22,Checkatrade public category/onboarding page.,checkatrade,view our prices,checkatrade||view our prices,V1,,
Checkatrade,View Prices,https://join.checkatrade.com/what-you-get/,public_category_page,2026-08-22,Checkatrade public category/onboarding page.,checkatrade,view prices,checkatrade||view prices,V1,,
Checkatrade,Win more work,https://join.checkatrade.com/what-you-get/,public_category_page,2026-08-22,Checkatrade public category/onboarding page.,checkatrade,win more work,checkatrade||win more work,V1,,
Checkatrade,Your profile shows up on Google so more customers can find and choose you!,https://join.checkatrade.com/what-you-get/,public_category_page,2026-08-22,Checkatrade public category/onboarding page.,checkatrade,your profile shows up on google so more customers can find and choose you,checkatrade||your profile shows up on google so more customers can find and choose you,V1,,
Rated People,About,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,about,rated people||about,V1,,
Rated People,About us,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,about us,rated people||about us,V1,,
Rated People,Careers,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,careers,rated people||careers,V1,,
Rated People,Contact,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,contact,rated people||contact,V1,,
Rated People,Bathroom fitter,https://www.ratedpeople.com/sitemap/trades/b,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,bathroom fitter,rated people||bathroom fitter,V1,,
Rated People,Blacksmith / Metal worker,https://www.ratedpeople.com/sitemap/trades/b,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,blacksmith metal worker,rated people||blacksmith metal worker,V1,,
Rated People,Bricklayer,https://www.ratedpeople.com/sitemap/trades/b,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,bricklayer,rated people||bricklayer,V1,,
Rated People,Builder,https://www.ratedpeople.com/sitemap/trades/b,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,builder,rated people||builder,V1,,
Rated People,Carpenter / Joiner,https://www.ratedpeople.com/sitemap/trades/c,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,carpenter joiner,rated people||carpenter joiner,V1,,
Rated People,CCTV / Satellites / Alarms,https://www.ratedpeople.com/sitemap/trades/c,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,cctv satellites alarms,rated people||cctv satellites alarms,V1,,
Rated People,Cleaner,https://www.ratedpeople.com/sitemap/trades/c,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,cleaner,rated people||cleaner,V1,,
