platform,raw_service,geography_scope,source_url,source_type,collection_date,coverage_note,platform_key,service_key,comparison_key,source_version
Checkatrade,Access Ramp Indoor / Outdoor,London,https://www.checkatrade.com/sitemap/locations/London/A,london_trade_sitemap,2026-09-05,London A-Z trade/service sitemap.,checkatrade,access ramp indoor outdoor,checkatrade||access ramp indoor outdoor,V2
Checkatrade,Accessible Kitchens,London,https://www.checkatrade.com/sitemap/locations/London/A,london_trade_sitemap,2026-09-05,London A-Z trade/service sitemap.,checkatrade,accessible kitchens,checkatrade||accessible kitchens,V2
Checkatrade,Accident Repair,London,https://www.checkatrade.com/sitemap/locations/London/A,london_trade_sitemap,2026-09-05,London A-Z trade/service sitemap.,checkatrade,accident repair,checkatrade||accident repair,V2
Checkatrade,Adjustable Beds,London,https://www.checkatrade.com/sitemap/locations/London/A,london_trade_sitemap,2026-09-05,London A-Z trade/service sitemap.,checkatrade,adjustable beds,checkatrade||adjustable beds,V2
Checkatrade,Aerial Installation,London,https://www.checkatrade.com/sitemap/locations/London/A,london_trade_sitemap,2026-09-05,London A-Z trade/service sitemap.,checkatrade,aerial installation,checkatrade||aerial installation,V2
Checkatrade,Aerial Repair,London,https://www.checkatrade.com/sitemap/locations/London/A,london_trade_sitemap,2026-09-05,London A-Z trade/service sitemap.,checkatrade,aerial repair,checkatrade||aerial repair,V2
Checkatrade,Aggregate Supplier,London,https://www.checkatrade.com/sitemap/locations/London/A,london_trade_sitemap,2026-09-05,London A-Z trade/service sitemap.,checkatrade,aggregate supplier,checkatrade||aggregate supplier,V2
Checkatrade,Agricultural Builders,London,https://www.checkatrade.com/sitemap/locations/London/A,london_trade_sitemap,2026-09-05,London A-Z trade/service sitemap.,checkatrade,agricultural builders,checkatrade||agricultural builders,V2
Checkatrade,Agricultural Building,London,https://www.checkatrade.com/sitemap/locations/London/A,london_trade_sitemap,2026-09-05,London A-Z trade/service sitemap.,checkatrade,agricultural building,checkatrade||agricultural building,V2
Checkatrade,Agricultural Contractor,London,https://www.checkatrade.com/sitemap/locations/London/A,london_trade_sitemap,2026-09-05,London A-Z trade/service sitemap.,checkatrade,agricultural contractor,checkatrade||agricultural contractor,V2
